gml_id,walk_00,walk200,walk500
id48F45803-A0E5-534C-E053-2462A00A4944,NA,NA,70
id48F45803-9F96-534C-E053-2462A00A4944,NA,205,315
id48F45803-9D0F-534C-E053-2462A00A4944,NA,26,315
id48F45803-9DBD-534C-E053-2462A00A4944,NA,315,315
id48F457F9-1ECF-534C-E053-2462A00A4944,122,122,343
id48F457F9-34B4-534C-E053-2462A00A4944,57,179,235
id48F45803-9D73-534C-E053-2462A00A4944,51,83,315
id48F45803-96DA-534C-E053-2462A00A4944,122,122,343
id48F45803-9E18-534C-E053-2462A00A4944,51,57,315
id48F45803-9E26-534C-E053-2462A00A4944,6,57,315
id48F45803-97A1-534C-E053-2462A00A4944,57,NA,77
id48F45803-942D-534C-E053-2462A00A4944,29,29,151
id48F45803-9795-534C-E053-2462A00A4944,57,NA,173
id48F45803-9476-534C-E053-2462A00A4944,NA,122,151
id48F45803-A140-534C-E053-2462A00A4944,346,416,416
id48F45803-A140-534C-E053-2462A00A4944,165,416,416
id48F45803-A12D-534C-E053-2462A00A4944,346,416,416
id48F45803-A12D-534C-E053-2462A00A4944,165,416,416
id48F45803-9D63-534C-E053-2462A00A4944,57,51,57
id48F45803-980F-534C-E053-2462A00A4944,57,51,179
id48F45803-95D7-534C-E053-2462A00A4944,NA,122,151
id48F45803-9E8E-534C-E053-2462A00A4944,57,51,57
id48F45803-959E-534C-E053-2462A00A4944,NA,29,29
id48F45803-981F-534C-E053-2462A00A4944,57,51,173
id48F45803-981E-534C-E053-2462A00A4944,57,51,51
id48F45803-9F5C-534C-E053-2462A00A4944,NA,6,36
id48F45803-A1AE-534C-E053-2462A00A4944,NA,30,346
id48F457F6-4A8A-534C-E053-2462A00A4944,NA,30,70
id48F45803-9EC0-534C-E053-2462A00A4944,NA,51,51
id48F45803-97F8-534C-E053-2462A00A4944,NA,122,530
id48F45815-101F-534C-E053-2462A00A4944,NA,NA,27
id48F457FA-3F0D-534C-E053-2462A00A4944,NA,NA,NA
id48F45815-0FCF-534C-E053-2462A00A4944,NA,NA,NA
id48F45815-0FC1-534C-E053-2462A00A4944,NA,406,406
id48F45841-7948-534C-E053-2462A00A4944,NA,NA,NA
id48F457F9-3660-534C-E053-2462A00A4944,27,27,27
id48F45841-8456-534C-E053-2462A00A4944,NA,193,406
id48F457FE-ACFB-534C-E053-2462A00A4944,NA,193,406
id48F45815-0FC2-534C-E053-2462A00A4944,NA,166,406
id48F45841-8699-534C-E053-2462A00A4944,NA,166,193
id48F45815-0FC3-534C-E053-2462A00A4944,166,166,343
id48F45841-86F6-534C-E053-2462A00A4944,166,166,370
id48F45841-7F3E-534C-E053-2462A00A4944,NA,NA,166
id48F45841-8012-534C-E053-2462A00A4944,166,166,343
id48F45841-8031-534C-E053-2462A00A4944,166,166,343
id48F45841-802A-534C-E053-2462A00A4944,166,166,343
id48F457F9-34B5-534C-E053-2462A00A4944,27,27,53
