"","lsoa11cd","pop","min.dist","access.index","rank.access"
"1","E01008288",1321,128.50204787802,5302.23157048345,123
"2","E01008289",1590,171.637336587633,10067.9050840906,127
"3","E01008290",1277,65.7249794078,28720.0067924829,119
"4","E01008291",2133,125.392344883445,19480.7364724036,120
"5","E01008292",1342,285.056308800786,7054.13774587613,25
"6","E01008293",1447,242.119719864233,992.192216197343,67
"7","E01008294",1517,290.274333551151,5997.7333766889,147
"8","E01008295",1588,343.046752489177,1297.86760898382,122
"9","E01008296",1409,179.185223692603,9630.63239810105,175
"10","E01008297",1397,265.918990718916,10195.272939591,44
"11","E01008298",1507,324.685338143674,6994.01461854324,3
"12","E01008299",1342,382.977723316902,5329.17466205951,18
"13","E01008300",1672,189.273650657612,21308.2921218157,43
"14","E01008301",1776,62.9344569984254,12612.7495105622,29
"15","E01008302",1642,8.02261517742441,14430.7180345948,134
"16","E01008303",1977,122.726650119567,10830.463303926,24
"17","E01008304",1900,207.663667072206,17343.0161234288,52
"18","E01008305",2176,137.247579798777,28616.891207692,107
"19","E01008306",1636,541.547867569619,0,77
"20","E01008307",1029,776.058089315483,0,130
"21","E01008308",1395,891.484821052934,0,121
"22","E01008309",1829,71.5764030267873,6828.96072383604,84
"23","E01008311",1677,132.521156199529,4963.34129800727,126
"24","E01008312",1264,105.788439748763,27213.4333733573,108
"25","E01008313",1217,106.359155242709,37910.1833093486,135
"26","E01008314",1495,65.9224100177113,10362.4376274183,160
"27","E01008315",1556,261.300645006739,16592.7877865603,46
"28","E01008316",1609,377.757155743731,7795.82726163557,51
"29","E01008317",1529,88.4366134258339,27903.1290433966,94
"30","E01008318",1405,110.282326771023,12644.484697201,13
"31","E01008319",1870,65.9500063200445,10864.460697524,162
"32","E01008320",1462,78.0139763057806,2669.80316183117,55
"33","E01008321",1756,137.823040679575,11452.2424008938,82
"34","E01008322",1530,297.251350763516,7512.70196344615,85
"35","E01008323",1670,58.0531090797229,5473.47599307251,83
"36","E01008324",1350,65.9768188073685,11389.2184652496,117
"37","E01008325",1420,48.7139562264622,6434.83718952624,109
"38","E01008326",1488,367.803949097107,5109.23519765974,4
"39","E01008327",1295,37.5088876585061,14417.3310165777,158
"40","E01008328",1267,90.2384337873438,10663.2310741677,71
"41","E01008329",1462,141.192145431458,9875.79235559147,136
"42","E01008330",1385,277.363031723348,7430.74651818051,124
"43","E01008331",1882,161.404101295536,27909.90196716,161
"44","E01008332",2271,50.0113943585321,28913.8008837238,165
"45","E01008333",1851,211.824341037046,6679.49349939462,17
"46","E01008334",2040,202.580198831998,22333.7582538723,56
"47","E01008335",2079,278.326656168145,16319.9121895066,64
"48","E01008336",1366,320.772532252752,8345.19181194187,86
"49","E01008337",1445,189.722179096421,4625.51604738062,118
"50","E01008338",1259,233.927302174135,4757.56888478101,159
"51","E01008339",1457,199.064012477554,21862.0916647157,66
"52","E01008340",1488,107.194962260746,26842.7983180929,74
"53","E01008341",1423,27.7257916673006,9847.56395201352,27
"54","E01008342",1388,152.683185333982,3207.66662513768,110
"55","E01008343",1547,68.3139399325132,20983.9554142846,57
"56","E01008344",1602,118.082842245512,17113.0467270522,47
"57","E01008345",1591,196.079813223406,16450.536406232,141
"58","E01008346",1626,185.095259974016,9454.46870590464,78
"59","E01008347",1430,13.1761947388297,10378.3301583704,61
"60","E01008348",1177,267.160180628835,5680.18078475308,105
"61","E01008349",1565,245.758065631091,15656.1897778798,143
"62","E01008350",1301,88.9332289909123,13991.5473097157,15
"63","E01008351",1469,170.025954635835,10575.1346090184,133
"64","E01008352",1484,143.770991528529,17049.1216464975,39
"65","E01008353",1533,106.289416674443,9830.51118414714,163
"66","E01008354",1708,199.004163257576,16726.7795104382,62
"67","E01008355",1554,164.700093373447,35351.7245809092,80
"68","E01008356",1523,284.774723791678,10549.4017458845,95
"69","E01008357",1637,40.1873514099043,11463.2458959616,92
"70","E01008358",1477,101.572172836621,10024.5634890286,151
"71","E01008359",1607,226.193252659506,18792.8386334979,30
"72","E01008360",1668,197.795593223037,7585.40643933227,14
"73","E01008361",1593,415.764169260367,8897.21582783078,89
"74","E01008362",1795,251.060677186494,16599.5556227006,101
"75","E01008363",1595,278.337921404292,8335.53562744531,97
"76","E01008364",1696,234.633116563018,8580.39917698214,154
"77","E01008365",1679,20.9946555434971,26162.3966715775,145
"78","E01008366",2081,116.548883773911,15845.1952899682,69
"79","E01008367",2192,128.228194506191,6674.55447723355,33
"80","E01008368",1816,186.550459173377,13657.6736931192,152
"81","E01008369",1997,114.263984404204,10349.5262256258,36
"82","E01008370",1716,25.381149508247,20843.6531600319,102
"83","E01008371",1365,109.859920665151,20256.5844806631,88
"84","E01008372",1935,47.3444972628528,23563.0954930356,31
"85","E01008373",2348,220.189365400579,20596.2276523074,16
"86","E01008374",1580,242.076626890545,17045.2301801605,40
"87","E01008375",1514,361.165582821176,8163.50052945477,63
"88","E01008376",1197,380.711940470336,10961.3415051389,68
"89","E01008377",2215,196.108381267933,12125.6166436201,137
"90","E01008378",1452,309.280566286254,6224.83503367809,116
"91","E01008379",1527,516.734665205504,0,59
"92","E01008380",1702,321.958476328149,13429.2946601417,26
"93","E01008381",1376,310.038431293557,3292.78059628162,81
"94","E01008382",1339,44.3038596653338,21812.8714703378,128
"95","E01008383",1494,148.917392873932,13586.5109143252,10
"96","E01008384",1399,382.909848365611,7589.67169686923,2
"97","E01008385",1398,165.487986206519,11678.8331987661,132
"98","E01008386",1364,444.647984202578,3019.58042727272,70
"99","E01008387",1364,343.283212191369,6375.82779163037,146
