"","x"
"1",8.77802948776229
"2",5.498107875055
"3",11.4939248177893
"4",22.7257002982439
"5",6.0598071540905
"6",22.5988512528463
"7",5.06017924081364
"8",21.1647567124439
"9",22.2675966410148
"10",6.11370951000234
"11",13.7208794141354
"12",6.45026790002495
"13",6.45111796203886
"14",6.42178873951147
"15",6.42253807056519
"16",8.01360492448784
"17",9.98369069712448
"18",9.55552361547051
"19",4.53280754046718
"20",34.2025303791043
"21",34.00792568837
"22",23.0481285195924
"23",40.4971502557831
"24",90.7577371572331
"25",89.7951781227433
"26",90.9630694450064
"27",88.7273635370414
"28",83.8053873908155
"29",86.9559916196643
"30",86.2653843349186
"31",88.700691504474
"32",90.7095615516528
"33",90.6506136203277
"34",92.1336890121575
"35",59.9460161656256
"36",93.9682717039587
"37",55.5960551806506
"38",64.0854423623135
"39",79.8709685084229
"40",42.7585739317912
"41",59.8806872901459
"42",60.0764239336327
"43",50.6942500536576
"44",34.8952924240761
"45",49.4117472645926
"46",48.8221382838601
"47",38.1460037422409
"48",48.2367360535025
"49",31.6087081381102
"50",37.4397435069792
"51",39.7286185673944
"52",36.2238407911354
"53",31.1035239337253
"54",25.2245459617811
"55",155.284003250075
"56",154.190885688106
"57",150.501200727424
"58",149.172934313024
"59",165.020686381999
"60",160.732975382778
"61",211.488235229048
"62",142.749002682569
"63",145.197705775952
"64",145.435484270043
"65",145.440771623823
"66",145.823024557186
"67",146.244687226694
"68",145.098942854881
"69",141.787401143195
"70",104.088301157991
"71",103.42366370235
"72",140.470335096745
"73",102.41824573391
"74",111.12711815348
"75",111.559056917403
"76",109.001358543132
"77",107.230741091366
"78",106.581117918529
"79",97.1134455773295
"80",98.9813907050085
"81",102.397267247347
"82",102.067327027845
"83",89.6997182691786
"84",89.4981970277468
"85",88.316043240755
"86",142.639256989062
"87",115.625804967253
"88",115.622468613271
"89",113.998454762154
"90",113.992166740324
"91",111.300167471387
"92",111.294551721117
"93",97.7945225969475
"94",49.1696297790442
"95",49.1358715770583
"96",33.5955761555168
"97",46.8829696547996
"98",32.8692082890766
"99",45.396191746484
"100",46.172890322927
"101",24.94829796963
"102",20.8622076009999
"103",59.8028125114329
"104",60.3863900464522
"105",44.5954560387576
"106",44.5919743997515
"107",47.6405454553245
"108",15.2049717205875
"109",14.5458519713535
"110",44.3791711881026
"111",40.4492845819225
"112",44.1506970405131
"113",42.3626315555322
"114",8.4934344769955
"115",9.5681303431469
"116",540.240944442882
"117",567.952561059079
"118",514.561739917984
"119",498.131767505138
"120",541.745713107673
"121",525.567571849706
"122",482.274628144317
"123",513.967240163217
"124",529.875036311772
"125",512.689675105132
"126",468.497615019138
"127",494.534730502212
"128",490.871983175244
"129",448.470528021216
"130",267.942371743568
"131",255.616024093482
"132",293.850352568885
"133",312.113935687748
"134",373.096710027922
"135",375.733451959042
"136",290.91321640899
"137",369.762998309577
"138",361.939873358465
"139",268.88821629531
"140",263.065365427891
"141",259.597116256868
"142",283.645264164269
"143",326.983365203953
"144",271.140960741127
"145",272.463119952526
"146",293.077300063165
"147",473.936375029728
"148",468.250307115592
"149",467.002937705416
"150",460.031281766108
"151",453.681764365665
"152",448.080732233364
"153",428.988045582269
"154",393.081601473837
"155",381.58802404978
"156",363.811101587372
"157",209.682937886102
"158",217.35968576611
"159",209.18635667915
"160",208.818405557596
"161",193.619009976618
"162",20.9353646181264
"163",21.7288806762262
"164",21.7290852493114
"165",21.5194347054958
"166",105.588369187125
"167",9.04786337374021
"168",8.6703103640772
"169",104.212760534904
"170",18.6419991728584
"171",8.81865499539698
"172",9.45522038164863
"173",164.204732948263
"174",8.70326648083173
"175",16.2465134345762
"176",16.9659129829034
"177",777.931011293108
"178",793.556680437727
"179",784.54084806941
"180",883.528734316921
"181",881.891521643098
"182",930.771227938375
"183",891.571538856301
"184",948.785602637015
"185",964.171167787413
"186",1124.73769339004
"187",1089.09407481056
"188",1353.1969573058
"189",1053.222283375
"190",1065.63810860491
"191",1065.42908131407
"192",1043.59990543098
"193",758.773558315188
"194",743.101399037228
"195",741.046809481263
"196",736.350805707626
"197",918.325858940354
"198",918.724149895775
"199",807.839810633779
"200",796.878748514517
"201",782.823953562577
"202",598.951799550803
"203",569.081023152932
"204",583.467739758317
"205",562.720157786456
"206",541.135982467393
"207",551.225018068282
"208",227.055248911228
"209",231.512006483031
"210",235.588933550232
"211",240.75793197233
"212",328.327378770512
"213",332.359464077541
"214",361.902571012511
"215",381.573194412097
"216",388.571617260716
"217",389.322399363648
"218",389.466529282515
"219",300.793096205963
"220",392.540793601223
"221",392.59877503084
"222",389.890401446965
"223",385.580913946008
"224",396.887247170301
"225",328.645605163513
"226",490.010864461844
"227",519.183231362335
"228",638.178882684657
"229",520.990890072757
"230",657.838409654316
"231",635.760126668535
"232",668.649770091186
"233",723.864639660753
"234",672.750800392798
"235",694.40283315741
"236",723.133846750883
"237",762.101569955974
"238",712.081671580194
"239",76.1465340368863
"240",76.043505041294
"241",55.700157207472
"242",72.4428772912571
"243",72.9985275410422
"244",7.27005647243018
"245",438.821940877644
"246",8.95711211742259
"247",11.254776996085
"248",636.307539232035
"249",636.802067647236
"250",8.916455193503
"251",580.658170718635
"252",549.377376880256
"253",576.045361025846
"254",570.81525312254
"255",557.721274774078
"256",536.748038512816
"257",567.662592215318
"258",530.943147504447
"259",524.461637246521
"260",551.665278699167
"261",513.72805880988
"262",16.1216775052851
"263",494.202904866343
"264",490.378100679584
"265",491.849614079151
"266",484.713399953991
"267",104.759219184019
"268",27.9794855341494
"269",107.908282843039
"270",104.80847073172
"271",109.808633652008
"272",104.994536480937
"273",82.202852730306
"274",28.7758073684555
"275",26.6336548390324
"276",26.6241760847003
"277",26.1468413371757
"278",29.5591700525614
"279",27.5038658881591
"280",24.1590877548033
"281",31.5427270945107
"282",75.5345717036877
"283",32.4108249710735
"284",28.2693646969401
"285",28.7645242308884
"286",23.7716953187296
"287",23.9088025854053
"288",24.4810089653233
"289",24.3923731094949
"290",24.0649402217767
"291",24.0644017704148
"292",84.2058198924507
"293",83.8901465992261
"294",82.1791010052054
"295",57.7837748597922
"296",71.087925053557
"297",71.0669389812756
"298",55.0167887269764
"299",69.678716744251
"300",68.3862159606004
"301",73.32540158042
"302",72.511834396688
"303",67.2934310140239
"304",66.2808402368474
"305",55.9138149322052
"306",53.3027406814029
"307",49.463139142153
"308",73.0082262143323
"309",72.2482755110684
"310",62.7945622965674
"311",43.7248527273916
"312",35.8076741002252
"313",39.3383302288076
"314",38.1238704400659
"315",51.1649999885779
"316",35.6198041921961
"317",38.2670097181506
"318",36.4623634456641
"319",37.0697209783183
"320",42.4803998778748
"321",35.9870156295364
"322",36.1933715653781
"323",36.329446670519
"324",43.2553279280815
"325",36.6566152670386
"326",50.9073384198351
"327",44.4052924192973
"328",49.7381999036
"329",45.4358617357582
"330",48.9491150528422
"331",45.187087936012
"332",48.3281190681232
"333",41.663162340193
"334",42.9987464210373
"335",44.1186012152253
"336",31.025144785401
"337",30.459007424147
"338",43.6688316721075
"339",43.0099872503978
"340",42.5327732150185
"341",39.6314588587013
"342",36.8473719120703
"343",35.9910196963851
"344",34.9032600599739
"345",37.1775388805712
"346",36.3981383023931
"347",36.8915603415737
"348",23.1235275992792
"349",24.6641687421294
"350",23.4301048913419
"351",30.654133815326
"352",21.6664327142086
"353",29.2242803618482
"354",524.835183975122
"355",399.09667027298
"356",397.904727754252
"357",257.224825057634
"358",225.647700334254
"359",226.468532846211
"360",166.648514240332
"361",231.918340047188
"362",219.635709630754
"363",197.029046030131
"364",204.64295488676
"365",201.866694356887
"366",198.1102083607
"367",104.878289564521
"368",119.308056337299
"369",116.498777429072
"370",103.555173195284
"371",146.288422412732
"372",97.4353681664197
"373",126.819120875151
"374",110.734712431153
"375",98.7583379972627
"376",94.7558114624166
"377",137.134869076405
"378",154.451508495003
"379",158.366852561978
"380",93.3653588671919
"381",118.043298489857
"382",111.848899305997
"383",100.252175846557
"384",72.6364415160336
"385",2.68974199477933
"386",2.53958188579772
"387",4.92972999732055
"388",4.48050094789631
"389",2.32832901695814
"390",2.32691854600616
"391",5.03069262640364
"392",3.06023816986168
"393",6.21500735019245
"394",6.24907128093303
"395",6.28615165648638
"396",6.41111969576272
"397",6.76157602432622
"398",5.92464717079496
"399",21.8018117295251
"400",22.9959804687121
"401",21.8414680531723
"402",28.800219391642
"403",26.768500176283
"404",28.8737807701928
"405",28.7357825587383
"406",25.7893919747038
"407",25.7723105576455
"408",19.5144226914271
"409",19.9820107164478
"410",18.4836683919065
"411",22.1854711379461
"412",18.8984078260161
"413",15.4092663774022
"414",12.9128999431602
"415",11.0905863661935
"416",11.1426488761225
"417",12.4579650320872
"418",12.7209514167449
"419",8.34366381105648
"420",8.34202356761769
"421",12.2208956334982
"422",12.007904167185
"423",11.4583721637748
"424",10.2582200002623
"425",8.87523930058918
"426",7.86299300047075
"427",7.6699152383157
"428",5.95043468422805
"429",5.89837420101107
"430",737.280475542973
"431",333.995633314468
"432",721.350963561007
"433",609.504249191889
"434",340.771138792323
"435",835.052935609212
"436",871.55670855461
"437",682.448178904486
"438",930.071671119351
"439",942.971420168214
"440",363.400011050409
"441",401.344899821488
"442",421.883259745103
"443",371.565223923501
"444",414.565682420739
"445",397.706650789173
"446",494.396248030184
"447",494.307205159227
"448",712.302508846544
"449",713.300544171702
"450",390.10941696636
"451",391.82937590368
"452",869.177504437585
"453",798.354121584466
"454",738.771378430361
"455",562.74142543805
"456",499.417408950658
"457",547.297008495354
"458",595.099768869677
"459",444.050334324472
"460",273.264868491343
"461",103.351106560311
"462",103.251144630199
"463",85.7298364292911
"464",85.7188984752487
"465",99.6567421764739
"466",81.6731501305638
"467",95.8725004915539
"468",95.9215659407208
"469",92.2313217375034
"470",81.5262764252814
"471",75.1805417504212
"472",82.4564090907324
"473",68.6744553343247
"474",75.0688807554581
"475",70.3120618406575
"476",63.7721803701429
"477",65.5783902162666
"478",68.4985137073394
"479",63.7575171795367
"480",60.6461983716663
"481",61.5025434170273
"482",63.9709986348409
"483",59.7645915824291
"484",62.7163878178025
"485",64.6068276506293
"486",62.4279319523358
"487",61.6822523539925
"488",56.3516136207599
"489",61.0898517277917
"490",62.2968182374653
"491",60.8967759604337
"492",55.1360065445801
"493",59.5732372267101
"494",52.3833842221553
"495",51.9098754715778
"496",48.7397413543649
"497",47.4779701049911
"498",41.9445988956137
"499",44.3768524524304
"500",41.5052692115718
"501",40.0692964017894
"502",40.0682898948634
"503",35.5838343366618
"504",34.861804641958
"505",34.6721401043426
"506",35.3488683045869
"507",31.5614436538763
"508",31.5887830473212
"509",30.9722499406859
"510",28.9565484650981
"511",29.873548138131
"512",29.0862737271956
"513",29.4328838734421
"514",28.9864503732259
"515",24.7942067737249
"516",24.7926949278357
"517",24.6305311011415
"518",23.0483123276309
"519",22.2205744614562
"520",21.7735437711542
"521",20.5867281058477
"522",20.544585922494
"523",329.368374921205
"524",338.560367898939
"525",355.019653837573
"526",344.271419183583
"527",318.675624883594
"528",317.413918276541
"529",244.551386103351
"530",291.402314299522
"531",209.41273759166
"532",207.990994851892
"533",285.012676515014
"534",279.104352429752
"535",191.793111525115
"536",188.840482554796
"537",226.461411668591
"538",223.655287285202
"539",226.090740567393
"540",217.925140169342
"541",172.131209336578
"542",170.097712553277
"543",202.897516174653
"544",204.49082779788
"545",166.006871850019
"546",168.130822678739
"547",169.926217299293
"548",161.824206794852
"549",174.548023817896
"550",192.37081757309
"551",144.160065425218
"552",135.20317092863
"553",99.6678309528726
"554",4.6976138452543
"555",3.44669644867985
"556",4.1881303329029
"557",4.91425091620705
"558",5.96001068261778
"559",4.28720228785834
"560",3.58775792414634
"561",5.11032839709386
"562",7.47121907287503
"563",3.36123448445617
"564",3.14399861554062
"565",3.4286529375786
"566",5.24707456009315
"567",3.44079462654306
"568",3.45748125150555
"569",3.47206147476343
"570",4.48680524935396
"571",6.92509068725401
"572",8.32394939052086
"573",8.35539819485859
"574",6.4969406617511
"575",3.91402327592054
"576",4.15953719458421
"577",6.42549063194995
"578",5.29346237217377
"579",4.17216538509097
"580",4.17153588550827
"581",4.09403728235512
"582",3.89024576121549
"583",4.93405884437348
"584",4.09936959541443
"585",25.1248847891402
"586",18.5177565515819
"587",14.6590269088412
"588",14.4298784494747
"589",34.1490635226979
"590",24.8694403470638
"591",25.4968269760912
"592",38.1829566774816
"593",23.0521617013781
"594",25.2083148618686
"595",24.5003239888649
"596",24.4998386015247
"597",37.5778892993006
"598",40.5253023120202
"599",36.6596626450921
"600",43.6691239234308
"601",39.7065585992841
