lsoa11cd,r_dom,h_dom,e_dom,ahah,gpp_d,ed_d,dent_d,pharm_d,gamb_d,ffood_d,leis_d,green900,pubs2_d,off2_d,tobac_d,no2,pm10,so2
E01008347,36.5494439939,13.9119295833,8.19594707957,19.4960351126,0.76125,4.85708333333333,1.33166666666667,0.674166666666667,0.51125,0.664166666666667,4.15083333333333,0.57030229657,0.705416666666667,1.40208333333333,1.72208333333333,12.37367101,10.2188903,0.973840351
E01008348,28.3218106388,18.2009885943,10.1448006283,18.8823178402,0.991363636363636,4.62954545454545,1.77,0.887272727272727,0.655454545454545,0.876363636363636,3.32136363636364,0.45496499821,0.991818181818182,1.60318181818182,1.93409090909091,12.91930188,10.30831471,0.998241423
E01008349,29.7025706932,10.4667005665,8.79095370598,16.2615412443,0.77952380952381,3.43714285714286,1.47333333333333,0.581428571428571,0.638571428571429,0.731428571428571,2.84047619047619,0.50525304763,1.47571428571429,1.02333333333333,1.85047619047619,12.43924427,10.22656345,0.973777413
E01008350,17.4569247512,19.1756414163,6.70393043803,14.492800294,1.22903225806452,5.23645161290323,1.32612903225806,0.924516129032258,0.824193548387097,1.37935483870968,3.39838709677419,0.73603348991,1.65612903225806,1.28290322580645,3.65225806451613,11.94866592,10.19571807,0.96345978
E01008351,15.3368336713,10.5991476296,6.22758916431,10.7199697298,1.23193548387097,5.16,1.15451612903226,0.650967741935484,1.34161290322581,1.08806451612903,1.20161290322581,1.05430834159,1.17806451612903,1.56967741935484,5.12258064516129,12.62012136,10.21627459,0.999076457
E01008352,14.287541042,9.76986526702,5.82670396685,9.9594550437,0.835833333333333,5.92125,0.92375,0.6925,0.694583333333333,1.075,1.59791666666667,1.01483916117,1.54708333333333,3.00958333333333,5.94,12.08580847,10.18951079,0.975129964
E01008353,20.4355546988,5.8084877167,11.8340780302,12.6238646242,0.8953125,5.6690625,0.6290625,0.4434375,0.40625,0.98625,1.278125,0.28464339869,1.186875,2.6853125,6.2515625,12.6480871,10.1633851,0.977518827
E01008354,25.7598609538,4.95402585327,8.22315651046,12.8987645533,0.669,4.618,0.478666666666667,0.965,0.773,0.720333333333333,0.752666666666667,0.65212961785,0.730333333333333,1.32466666666667,4.69666666666667,12.99726306,10.18775372,0.983504637
E01008355,40.98677631,0.32379981996,8.66611473618,16.495545984,0.226052631578947,4.51,0.246842105263158,0.647631578947368,0.443157894736842,0.292105263157895,0.279473684210526,0.59267274764,0.385526315789474,1.59947368421053,4.49026315789474,12.97573615,10.19213849,0.983982003
E01008356,19.2069708793,8.06115307939,11.6085712331,12.9099209441,1.17538461538462,4.92230769230769,0.512692307692308,0.768076923076923,0.755,1.18615384615385,1.39807692307692,0.31700968481,0.631153846153846,2.80538461538462,5.50538461538462,12.89126877,10.16548813,0.97940164
E01008357,7.69715272804,16.8649374399,5.17915995316,9.98326191436,0.809411764705882,5.79,1.67794117647059,1.26529411764706,1.88117647058824,1.73411764705882,1.76029411764706,1.29760233214,1.77235294117647,3.16882352941176,5.88382352941176,12.06740527,10.17711226,0.987764375
E01008358,14.1492377748,7.83441269448,5.93560124871,9.29169719387,0.6545,5.27385714285714,0.694357142857143,0.95825,1.3225,0.730071428571429,1.27682142857143,1.07095762131,1.32260714285714,2.65989285714286,5.41035714285714,12.37172111,10.18732802,0.991640284
E01008359,59.0728548249,2.71248968345,8.96783865933,23.3756753422,0.667857142857143,4.22785714285714,0.369285714285714,0.516428571428571,0.559285714285714,0.257142857142857,0.815714285714286,0.88751662982,0.937857142857143,0.563571428571429,0.422142857142857,14.46011882,10.58494464,1.024557791
E01008360,47.4714825415,5.43819922161,10.2244299384,20.8886388537,0.651666666666667,4.52888888888889,0.763888888888889,0.588888888888889,0.597777777777778,0.436666666666667,1.10111111111111,0.66033412618,1.25166666666667,0.598888888888889,0.567222222222222,14.21039921,10.60376493,1.020342668
E01008361,66.0884379175,3.45841693193,10.7957793777,26.5476534643,0.604444444444444,4.425,0.623888888888889,0.442222222222222,0.461666666666667,0.228888888888889,0.886111111111111,0.61851979177,1.14666666666667,0.462222222222222,0.327222222222222,14.34114406,10.60790624,1.021340539
E01008362,46.4161043511,3.45525553582,12.1964082113,20.5169160278,0.6445,4.3635,0.467,0.5855,0.758,0.2765,0.779,0.55271314957,0.8965,0.9085,0.7665,14.71212682,10.62041305,1.033523993
E01008363,22.4802906302,9.26054954148,7.57885310461,13.0681042766,0.6968,4.7592,1.0136,0.8028,1.2744,1.1836,1.6368,1.06589531297,1.4792,1.2776,1.314,14.00053793,10.56200782,1.014650045
E01008364,74.9809607724,0.64886542397,8.08743011077,27.6331832356,0.266538461538462,4.02884615384615,0.336538461538462,0.314230769230769,0.306923076923077,0.300384615384615,0.929230769230769,1.04816973075,0.749615384615385,0.310769230769231,0.424615384615385,14.40406003,10.57271726,1.022536289
E01008365,56.2637861668,3.0783863873,8.05265811035,22.2710779831,0.532307692307692,3.69576923076923,0.51,0.477692307692308,0.45,0.491153846153846,1.17230769230769,1.05166868435,0.596538461538462,0.518076923076923,0.700769230769231,14.35277931,10.60836208,1.021454394
E01008366,38.8107623755,3.95053278554,7.97403565798,16.7821644981,0.677692307692308,3.07807692307692,0.535,0.770384615384615,0.422692307692308,0.631538461538461,0.794230769230769,1.03964764296,0.528461538461538,1.52846153846154,2.22076923076923,14.35451697,10.50219719,1.02045064
E01008367,37.8714840432,2.74189139957,5.90885610519,15.3797553248,0.476129032258065,2.81193548387097,0.543225806451613,0.556451612903226,0.448064516129032,0.841935483870968,1.08064516129032,1.97386565925,0.508064516129032,1.7,1.73129032258065,14.41499006,10.55517897,1.022840412
E01008368,40.2800894593,1.82979425477,6.76225644948,16.1461041965,0.39,2.8228,0.4268,0.5684,0.4048,0.7476,0.9112,1.48984906871,0.43,1.6524,1.9896,14.43400735,10.58082319,1.023626717
E01008369,34.3110336981,2.16446788353,5.22486210792,13.7827646964,0.456486486486486,2.75297297297297,0.597027027027027,0.445135135135135,0.916216216216216,0.781081081081081,0.934864864864865,2.10392208589,0.52,0.830810810810811,2.20135135135135,13.90475985,10.33854218,1.00476094
E01008370,25.6401195476,2.78115224519,6.00189421527,11.3874563051,0.678055555555556,2.35722222222222,0.466944444444444,0.472777777777778,1.05194444444444,1.23555555555556,1.26305555555556,1.94077242874,0.651944444444444,2.005,1.6,14.48311378,10.5394355,1.025218741
