"","lsoa11","co","no2","o3","pm10","so2","laua"
"1","E01008288",0.223421901916376,16.9051085927942,1.82611344801272,10.4629182408189,0.949582011946945,"E08000021"
"2","E01008289",0.223778802446761,17.7411987047606,1.76053565599156,10.4655673216535,0.983213338943808,"E08000021"
"3","E01008290",0.225368547752843,16.9832181361323,1.81771699410273,10.6854998164458,1.01635440419154,"E08000021"
"4","E01008291",0.224948196213225,17.4942550125874,1.77745728522604,10.8576722628877,1.13817199736994,"E08000021"
"5","E01008292",0.223087385532189,16.8622554750863,1.83005785145076,10.5737505610463,0.941877385927782,"E08000021"
"6","E01008293",0.2219356686012,14.7570358003419,1.95056739978101,11.3225730014521,0.96530724221022,"E08000021"
"7","E01008294",0.222215245331697,16.6732254291212,1.80058605518166,10.7899803232616,0.986102871710479,"E08000021"
"8","E01008295",0.222498655319214,14.1459350585938,1.99535942077637,10.9677390227845,0.956080704927444,"E08000021"
"9","E01008296",0.222166028676954,14.4546386617903,1.9734753666183,11.0558165931577,0.960507974890171,"E08000021"
"10","E01008297",0.222467686470381,14.6741960566057,1.95696297140778,10.7676822921832,0.960796790438688,"E08000021"
"11","E01008298",0.222077951319226,14.8091785922746,1.94961432515822,10.8769901755084,0.962622011414848,"E08000021"
"12","E01008299",0.222806557646207,15.6777182483304,1.8852714328098,11.1846227363246,0.974779223872399,"E08000021"
"13","E01008300",0.222512652581892,16.0429531193007,1.85889155328472,10.1513159358351,0.97873486797561,"E08000021"
"14","E01008301",0.231136875352123,18.9757381974144,1.69975037693255,11.0316868106741,1.04460961654271,"E08000021"
"15","E01008302",0.228364581035546,19.3058613918322,1.67614628203501,11.1033915195493,1.02185392358201,"E08000021"
"16","E01008303",0.228050939502001,20.7274389771164,1.56082754404238,11.889977592562,1.05216348023564,"E08000021"
"17","E01008304",0.233231164251328,21.7099868709168,1.47127202882035,11.4900904623864,1.11398914495879,"E08000021"
"18","E01008305",0.229670928545869,19.9004885981855,1.62221532819777,11.2665792619702,1.08931932555392,"E08000021"
"19","E01008306",0.211351540226203,10.2378802666297,2.19961844040797,10.2999801635742,0.959340897890238,"E08000021"
"20","E01008307",0.211942002177238,9.97061697642008,2.24630331993103,10.5960223674774,0.925251106421153,"E08000021"
"21","E01008308",0.216732949018478,12.334051767985,2.0864802201589,11.0133867263794,0.998416244983673,"E08000021"
"22","E01008309",0.222227452945896,14.9485688853389,1.9322641807408,12.6438601705938,0.969376617538939,"E08000021"
"23","E01008311",0.226052624144028,14.6832091102791,1.95486232897087,12.0954925517175,0.987003059747007,"E08000021"
"24","E01008312",0.222647176351684,18.1154142144638,1.68941992204779,10.7317650208033,1.00870895913093,"E08000021"
"25","E01008313",0.222560544349332,19.6596363227164,1.57019056986774,10.6410102844238,1.02794708995741,"E08000021"
"26","E01008314",0.228281638233113,18.9485958628528,1.67171908814996,10.407571931412,1.03268308841039,"E08000021"
"27","E01008315",0.230023205336411,19.5411984691484,1.62636885529267,10.6884606234618,1.04823730875186,"E08000021"
"28","E01008316",0.227300170104436,18.5760591995175,1.70035166605685,10.7742996440175,1.02395967787318,"E08000021"
"29","E01008317",0.22926965342447,18.9568943048288,1.67247212632565,10.394782420087,1.02444089933357,"E08000021"
"30","E01008318",0.230197529237292,19.7387535225207,1.61083093196583,10.516345091084,1.05184038552646,"E08000021"
"31","E01008319",0.224958798561847,18.1507614062356,1.73542148435789,10.4395999908447,1.02290213728782,"E08000021"
"32","E01008320",0.227674230992798,17.2897376787179,1.80349786925951,10.5136040718707,0.989231509357221,"E08000021"
"33","E01008321",0.227505926548393,19.577153270561,1.62082932741682,10.5206751591391,1.01328275850857,"E08000021"
"34","E01008322",0.227693121037864,20.0342807890857,1.58487835473264,10.4556488355658,1.01948148174315,"E08000021"
"35","E01008323",0.225871356185588,18.0730353948092,1.74109621282743,10.4607391044824,1.01935383245568,"E08000021"
"36","E01008324",0.221881491224264,14.8831317713197,1.94414305061678,10.9177809949477,0.967245518499016,"E08000021"
"37","E01008325",0.222443406753728,14.8642842784898,1.9339129406236,10.4940138577438,1.00072678010202,"E08000021"
"38","E01008326",0.21883855468754,14.2093281387303,1.94649006576556,10.2285780845175,0.908656055567806,"E08000021"
"39","E01008327",0.221565892428807,15.1919659383878,1.92132642962902,10.2374068106403,1.07809206141269,"E08000021"
"40","E01008328",0.221135565659899,14.4416893276515,1.93014469712266,10.1532454983753,0.900267546230755,"E08000021"
"41","E01008329",0.222163160778605,15.1448017440305,1.88598289479271,10.2797759812326,0.96483898376316,"E08000021"
"42","E01008330",0.221114099025726,15.3404302597046,1.86711204051971,10.8830816840352,0.952996015548706,"E08000021"
"43","E01008331",0.226992013144664,20.3274757884348,1.54418062849517,10.9651403427124,1.29701508277372,"E08000021"
"44","E01008332",0.224811543218617,17.7846130720769,1.75567278768083,10.5154195933596,1.09652807747027,"E08000021"
"45","E01008333",0.224572965085433,17.5065805999168,1.77823395387212,11.3070961561707,1.01052754854528,"E08000021"
"46","E01008334",0.223931961033577,18.1009975121394,1.73219996703203,10.5805403779017,0.998689456837541,"E08000021"
"47","E01008335",0.224588583568842,17.49524468058,1.77910954975598,10.9823425175501,1.01091780684985,"E08000021"
"48","E01008336",0.223483526851414,18.3543932976781,1.68320939463561,11.8108623557633,1.02261209444256,"E08000021"
"49","E01008337",0.222687944818074,19.5190873426995,1.58109244374196,10.1099211119059,1.02731040301965,"E08000021"
"50","E01008338",0.223083219800189,17.7782225263394,1.72405103442012,11.0643230443446,1.02250150129308,"E08000021"
"51","E01008339",0.221826068214958,18.1272832160236,1.69359177360388,11.0126260675717,1.01114455581631,"E08000021"
"52","E01008340",0.220882229597004,17.3781658923032,1.75124096067995,10.3434930586044,0.996319773363104,"E08000021"
"53","E01008341",0.221194052822863,17.1845164368161,1.77116944371002,10.7670604478679,0.994811897576011,"E08000021"
"54","E01008342",0.226580914548202,15.2692056579364,1.91077369270812,11.8929848086568,1.00807139022008,"E08000021"
"55","E01008343",0.223617681585847,17.1387221488616,1.79031232175557,11.036199385644,0.977273692924725,"E08000021"
"56","E01008344",0.222235008918433,17.0570582531296,1.78599804334329,10.8822419088872,0.990662627991744,"E08000021"
"57","E01008345",0.221623417240973,16.1997793925945,1.84722557975989,11.5477767345347,1.06437914569369,"E08000021"
"58","E01008346",0.225452197444777,17.4030733855861,1.76414663386886,10.2416789755873,1.00696255607163,"E08000021"
"59","E01008347",0.222653347551313,16.9643114135638,1.80877584946181,10.4849712890927,0.963606939217713,"E08000021"
"60","E01008348",0.223067355617982,16.869821651118,1.8288749783071,10.2774288635103,0.942864367535921,"E08000021"
"61","E01008349",0.224496184919734,18.6267333982242,1.69047996049238,10.3925399780273,1.06002048321179,"E08000021"
"62","E01008350",0.221304685824049,14.9823084041196,1.93671562244829,10.9382569843755,1.08939698982777,"E08000021"
"63","E01008351",0.224838166418214,16.8037519817042,1.84315935998094,10.1553870284177,1.01289951533881,"E08000021"
"64","E01008352",0.224134506338725,15.8480949401855,1.86810445785523,10.6033909426407,0.98863473534584,"E08000021"
"65","E01008353",0.221806419581649,17.2606805471557,1.76490504759335,10.1025932455735,1.00339851477848,"E08000021"
"66","E01008354",0.226841218194722,17.4860658866019,1.78981843541537,10.2772559872564,0.998734684704277,"E08000021"
"67","E01008355",0.224337531135637,17.981150489783,1.73812341691157,10.2440114166656,1.00262043607241,"E08000021"
"68","E01008356",0.220396272326615,19.1698419280875,1.62380292047521,10.1795008520176,1.00466607456587,"E08000021"
"69","E01008357",0.224828131674567,14.9440152133074,1.97357398144817,9.95248781227577,0.963498301024908,"E08000021"
"70","E01008358",0.225098337213111,16.813312532223,1.83685419479315,9.96289539867569,1.09882967447661,"E08000021"
"71","E01008359",0.227982348474769,22.3873086830166,1.37881208035195,11.0512919879724,1.13830804368295,"E08000021"
