"LSOA11CD","imd_rank","imd_score","income","employment","education","health","crime","housing","living_env","idaci","idaopi"
"E01008386",16602,17.18,0.12,0.12,22.43,0.32,-0.13,16.94,7.55,0.19,0.12
"E01008387",19143,14.49,0.09,0.1,18.07,0.35,0.3,15.58,4.06,0.09,0.1
"E01008388",870,60.71,0.42,0.31,66.26,1.73,0.8,19.73,11.81,0.5,0.47
"E01008389",1306,56.29,0.38,0.28,69.99,1.83,0.7,19.17,8.15,0.49,0.45
"E01008390",377,67.83,0.48,0.32,83.18,2.02,0.62,22.58,11.49,0.64,0.47
"E01008391",885,60.55,0.42,0.31,76.52,1.58,0.48,22.41,10.28,0.53,0.4
"E01008392",1919,51.77,0.35,0.29,59.58,1.49,0.5,14.23,21.31,0.5,0.31
"E01008394",19369,14.27,0.02,0.02,22.1,0.49,-1.68,41.71,17.95,0.2,0.14
"E01008395",6836,33.23,0.24,0.15,29.25,1.59,-0.14,30.58,10.94,0.4,0.49
"E01008396",9164,28,0.21,0.1,38.64,1.18,-0.2,29.25,9.94,0.34,0.63
"E01008397",16382,17.44,0.05,0.04,8.4,0.71,0.15,34.15,43.61,0.2,0.19
"E01008398",1117,58.01,0.37,0.33,45.97,1.6,1.06,26.56,25.92,0.3,0.54
"E01008399",1221,57.05,0.39,0.29,48.34,1.69,1.15,25.53,10.65,0.45,0.48
"E01008400",2919,46.27,0.32,0.26,36.71,1.79,0.97,14.62,3.79,0.39,0.34
"E01008401",7527,31.5,0.24,0.18,48.35,0.93,-0.06,13.43,4.42,0.32,0.29
"E01008402",13671,20.74,0.15,0.13,14.53,0.48,0.06,27.65,5.58,0.21,0.17
"E01008403",21647,12.13,0.11,0.1,11.41,0.11,-0.3,5.92,6.75,0.14,0.12
"E01008404",12680,22.11,0.17,0.15,20.64,0.71,-0.46,16.08,10.65,0.21,0.27
"E01008405",7877,30.76,0.24,0.18,26.97,1.33,-0.41,19.75,8.75,0.32,0.33
"E01008406",8382,29.69,0.22,0.13,38.22,0.92,0.05,20.93,26.93,0.45,0.43
"E01008407",13961,20.33,0.1,0.06,37.01,0.91,-0.47,28.55,19.88,0.36,0.47
"E01008409",23869,10.28,0.06,0.04,2.3,0.45,-0.34,22.62,22.33,0.04,0.22
"E01008410",15071,18.98,0.14,0.09,10.13,0.69,0.63,17.72,15.36,0.26,0.32
"E01008411",21692,12.09,0.07,0.03,18.21,0.45,-0.45,18.45,24.93,0.27,0.37
"E01008412",23583,10.53,0.06,0.05,10.12,0.19,0.54,10.56,17.56,0.13,0.19
"E01008413",11150,24.49,0.16,0.12,14.58,1.27,0.25,17.87,22.21,0.2,0.45
"E01008415",3007,45.85,0.33,0.25,48.49,1.24,1.02,13.39,14.37,0.44,0.29
"E01008416",15426,18.56,0.11,0.13,17.11,0.6,0.35,4.74,13.96,0.11,0.15
"E01008418",31920,3.23,0.02,0.02,0.11,-1.3,-0.27,7.37,20.77,0.01,0.04
"E01008419",31321,3.96,0.03,0.03,0.08,-0.44,-0.33,1.58,18.87,0.03,0.08
"E01008420",31239,4.04,0.03,0.03,0.08,-0.32,-0.29,5.85,16.63,0.01,0.05
"E01008421",31260,4.03,0.05,0.04,0.43,-0.28,-0.9,11.56,8.5,0.05,0.1
"E01008422",31670,3.58,0.03,0.03,0.32,-0.36,-0.49,10.29,12.69,0.01,0.1
"E01008423",31351,3.93,0.02,0.03,0.21,-0.53,-0.28,17.28,10.89,0.01,0.05
"E01008424",21540,12.23,0.09,0.07,5.39,0.55,-0.91,18.31,18.72,0.12,0.27
"E01008425",773,61.84,0.39,0.41,57.44,2,0.19,24.27,8.19,0.4,0.38
"E01008426",512,65.38,0.47,0.31,96.38,1.74,0.1,24.01,11.72,0.53,0.46
"E01008427",45,78.81,0.54,0.47,80.45,2.08,1.37,27.95,18.09,0.64,0.5
"E01008428",3676,42.93,0.32,0.21,51.51,1.43,0.63,19.62,14.75,0.47,0.33
"E01008429",943,59.8,0.39,0.31,72.24,1.63,0.91,18.37,11.89,0.45,0.44
"E01008430",6269,34.71,0.26,0.22,34.26,1.26,-0.05,13.51,11.96,0.38,0.28
"E01008431",13740,20.63,0.15,0.13,24.31,0.69,-0.18,9.46,17.01,0.19,0.17
"E01008432",8180,30.14,0.22,0.19,33.08,0.89,0.2,14.88,14.79,0.28,0.26
"E01008433",18559,15.09,0.11,0.12,13.8,0.46,-0.55,6.56,9.19,0.1,0.16
"E01008434",20508,13.16,0.09,0.1,14.14,0.28,-0.62,6.43,15.19,0.08,0.14
