lsoa11cd,r_dom,h_dom,e_dom,ahah,gpp_d,ed_d,dent_d,pharm_d,gamb_d,ffood_d,leis_d,green900,pubs2_d,off2_d,tobac_d,no2,pm10,so2
E01008415,17.44879111,15.34955501,5.774196259,12.88243453,1.074827586,6.863793103,0.750344828,0.736206897,0.63137931,2.430689655,4.286896552,0.971601513,1.195862069,2.516206897,2.415862069,11.85944104,10.24089298,0.963520556
E01008416,28.39835706,4.78326045,5.07716975,12.6732324,0.532380952,6.592142857,0.345714286,0.378809524,0.326666667,2.387857143,4.625238095,1.073045061,0.605714286,2.209047619,2.593095238,11.30705061,10.28262959,0.950690543
E01008418,29.79975673,4.888662567,6.263992494,13.56318252,0.67673913,3.978043478,0.777826087,0.581086957,0.955434783,0.573695652,0.940652174,1.092147228,0.668478261,0.838043478,4.027826087,13.07520047,10.19297497,0.984386107
E01008419,45.27032464,0.23788601,8.058835958,17.67950424,0.365945946,4.017297297,0.203783784,0.337297297,0.43,0.232162162,0.336486486,0.694808549,0.312702703,1.705945946,4.161621622,13.08792357,10.20190163,0.985543552
E01008420,28.33113194,1.874018989,5.004015837,11.63776522,0.383548387,3.465806452,0.480645161,0.489354839,0.840967742,0.58483871,0.840967742,1.969435373,0.611935484,1.55483871,3.565483871,13.46689713,10.2660344,0.992581547
E01008421,17.87323454,3.674417744,6.130084146,9.170397201,1.192307692,4.361538462,0.455769231,0.34,1.095384615,0.977692308,1.024615385,1.104229533,0.751923077,2.4,4.944230769,12.99127212,10.17942893,0.982165009
E01008422,26.32362982,8.05265811,5.441645293,13.22044455,0.780294118,3.516764706,1.148235294,0.907941176,1.467058824,0.878235294,1.002647059,1.78158396,0.616764706,0.726176471,3.506176471,13.69136896,10.33491936,0.998332694
E01008423,16.27345073,6.399403601,4.871174033,9.153523396,1.005806452,3.652258065,0.523225806,0.726451613,1.339032258,1.092580645,1.384193548,2.102809225,0.97,1.991935484,4.121612903,13.47528598,10.24902327,0.991998735
E01008424,40.82891782,5.300092996,7.477720314,17.7432222,1.0988,4.3884,1.1816,0.2872,1.3412,0.2872,1.0848,0.852833259,0.5076,0.3432,4.292,13.26946694,10.26869098,0.993589795
E01008425,6.820730747,16.89553863,11.37811498,11.75010222,0.70125,6.609107143,1.171964286,1.107857143,1.187678571,3.6825,3.332142857,0.563764292,3.966607143,3.489285714,3.174107143,14.02495453,10.79353802,1.026638708
E01008426,13.01229901,6.0245057,14.1996171,11.02826425,0.717083333,5.327916667,0.549166667,0.484583333,0.689166667,2.054583333,2.052083333,0.376808127,2.054583333,3.072083333,2.88125,14.13328702,10.77436958,1.024225065
E01008427,4.017814876,12.69644144,10.13042897,8.985710561,0.654,6.044,1.4712,0.654,1.5572,7.9016,2.7668,0.665212856,7.9048,3.7796,3.5924,13.78867287,10.84448692,1.025408737
